,Unnamed: 0,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
126202,126202,Part Ground Floor,174,Bellenden Road,London,General store (london) limited,Retailers - other,4613,0.0,,542853,0.0,,51.466859,182176,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.073218,SE15 4BW,2013-03-21,fhrs_5_en-GB,5,,FHRS,0.0
126208,126208,,1,Choumert Road,London,Ghana mini market,Retailers - other,4613,10.0,,363543,5.0,,51.468211,175049,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068496,SE15 4SE,2010-07-28,fhrs_3_en-GB,3,,FHRS,10.0
126219,126219,,14,Choumert Road,London,God bless new cafe,Restaurant/Cafe/Canteen,1,10.0,,665591,5.0,,51.468211,184045,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068496,SE15 4SE,2014-04-22,fhrs_4_en-GB,4,,FHRS,5.0
126221,126221,,144-150,Rye Lane,London,Goitom behr,Retailers - other,4613,10.0,,467640,10.0,,51.469024,102081,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068174,SE15 4RZ,2012-10-25,fhrs_3_en-GB,3,,FHRS,10.0
126226,126226,,177,Queens Road,London,Golden noodle,Takeaway/sandwich shop,7844,10.0,,363485,10.0,,51.473679,174461,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.057091,SE15 2ND,2012-10-09,fhrs_3_en-GB,3,,FHRS,10.0
126229,126229,,18a,Peckham Rye,London,Golden taste,Restaurant/Cafe/Canteen,1,10.0,,467664,5.0,,51.465565,178695,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066722,SE15 4JR,2013-10-22,fhrs_3_en-GB,3,,FHRS,10.0
126235,126235,,106,Evelina Road,London,Gosling nursery,Hospitals/Childcare/Caring Premises,5,10.0,,364674,5.0,,51.466607,42001,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056326,SE15 3HL,2014-10-21,fhrs_3_en-GB,3,,FHRS,10.0
126236,126236,Unit 10 Print Village,58,Chadwick Road,London,Gosnells beverages ltd,Manufacturers/packers,7839,0.0,,729122,0.0,,51.467827,184362,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.074127,SE15 4PU,2014-11-10,fhrs_5_en-GB,5,,FHRS,5.0
126241,126241,,62,Gowlett Road,London,Gowlett arms,Pub/bar/nightclub,7843,10.0,,364109,10.0,,51.463105,2263,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070252,SE15 4HY,2012-08-30,fhrs_2_en-GB,2,,FHRS,15.0
126248,126248,,50,Brayards Road,London,Greenhive,Hospitals/Childcare/Caring Premises,5,0.0,,364801,0.0,,51.469175,53197,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.059355,SE15 2BQ,2012-09-26,fhrs_5_en-GB,5,,FHRS,0.0
126250,126250,Unit 8 The Aylesham Centre,,Rye Lane,London,Greggs,Takeaway/sandwich shop,7844,0.0,,487180,0.0,,51.472746,181591,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068693,SE15 5EW,2012-11-21,fhrs_5_en-GB,5,,FHRS,0.0
126254,126254,,66,Peckham High Street,London,Greggs the bakers,Manufacturers/packers,7839,0.0,,362699,0.0,,51.473214,1086,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070891,SE15 5DP,2011-01-13,fhrs_5_en-GB,5,,FHRS,0.0
126256,126256,,60,Nunhead Lane,London,Gregsons pharmacy ltd,Retailers - other,4613,,,362837,,,51.464633,1249,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.059865,SE15 3QE,2003-07-17,fhrs_exempt_en-GB,Exempt,,FHRS,
126264,126264,Unit C Astbury Business Park,,Astbury Road,London,Guidetti fine foods & wines,Importers/Exporters,14,10.0,,588927,5.0,,51.475812,183280,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.055027,SE15 2NW,2013-08-21,fhrs_4_en-GB,4,,FHRS,5.0
126271,126271,,60-62,Gibbon Road,London,H barry,Retailers - other,4613,5.0,,362865,5.0,,51.466568,1278,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.051835,SE15 3XE,2013-05-09,fhrs_5_en-GB,5,,FHRS,5.0
126275,126275,,111-113,Evelina Road,London,H.a smith & son,Retailers - other,4613,5.0,,364675,5.0,,51.466101,42007,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056707,SE15 3HB,2014-11-13,fhrs_4_en-GB,4,,FHRS,10.0
126278,126278,,143,Peckham High Street,London,Hagi vegetable & grocery,Retailers - other,4613,20.0,,363658,0.0,,51.474167,175844,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066488,SE15 5SL,2014-04-14,fhrs_1_en-GB,1,,FHRS,10.0
126280,126280,,174,Rye Lane,London,Haji baba halal meats,Retailers - other,4613,0.0,,714789,0.0,,51.467853,184478,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.067518,SE15 4NB,2014-10-28,fhrs_5_en-GB,5,,FHRS,0.0
126317,126317,,59,Rye Lane,London,Harte's irish meat market,Retailers - other,4613,10.0,,363467,5.0,,51.471369,174373,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069169,SE15 5EX,2014-04-14,fhrs_3_en-GB,3,,FHRS,10.0
126320,126320,,156-158,Rye Lane,London,Hax international,Retailers - other,4613,10.0,,363613,10.0,,51.467853,175541,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.067518,SE15 4NB,2014-04-14,fhrs_3_en-GB,3,,FHRS,10.0
126340,126340,Highshore School,,Bellenden Road,London,Highshore school,School/college/university,7845,0.0,,364486,0.0,,51.471856,3155,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.072532,SE15 5BB,2012-07-19,fhrs_5_en-GB,5,,FHRS,5.0
126354,126354,Unit 9 Aylesham Centre,,Rye Lane,,Holland & barrett ltd,Retailers - other,4613,5.0,,364015,0.0,,51.472746,1890,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068693,SE15 5EW,2007-05-01,fhrs_5_en-GB,5,,FHRS,0.0
126357,126357,,115,Hollydale Road,London,Hollydale tavern,Pub/bar/nightclub,7843,10.0,,364145,5.0,,51.468976,2350,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056009,SE15 2TF,2011-02-15,fhrs_4_en-GB,4,,FHRS,5.0
126362,126362,,28,Ivanhoe Road,London,Hoopers,Pub/bar/nightclub,7843,10.0,,363005,5.0,,51.466227,138218,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.079104,SE5 8DH,2011-10-11,fhrs_4_en-GB,4,,FHRS,5.0
126387,126387,,74,Rye Lane,London,Iceland frozen foods,Retailers - supermarkets/hypermarkets,7840,5.0,,364000,5.0,,51.470269,1861,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068985,SE15 5DQ,2007-05-01,fhrs_5_en-GB,5,,FHRS,5.0
126390,126390,,7,Blenheim Grove,London,Il giardino restaurant,Restaurant/Cafe/Canteen,1,5.0,,364416,5.0,,51.469116,2968,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070488,SE15 4QS,2012-08-30,fhrs_5_en-GB,5,,FHRS,5.0
126393,126393,John Donne Primary School,,Woods Road,London,In house catering john donne primary school,Other catering premises,7841,5.0,,363890,5.0,,51.472599,178396,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.060852,SE15 2SW,2013-06-12,fhrs_5_en-GB,5,,FHRS,0.0
126405,126405,,4,Station Way,London,Isatus kitchen,Restaurant/Cafe/Canteen,1,20.0,,364747,15.0,,51.469985,46883,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069227,SE15 4RX,2015-01-14,fhrs_1_en-GB,1,,FHRS,15.0
126406,126406,,83,Peckham Road,London,Iss caterhouse,School/college/university,7845,0.0,,364066,0.0,,51.474265,21285,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.079573,SE5 8UH,2012-03-29,fhrs_5_en-GB,5,,FHRS,0.0
126414,126414,St James The Great School,,Peckham Road,London,Iss caterhouse,School/college/university,7845,0.0,,364484,0.0,,51.474366,3153,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.073117,SE15 5LP,2011-11-01,fhrs_5_en-GB,5,,FHRS,5.0
126418,126418,St Johns And St Clements Prima,,Adys Road,London,Iss caterhouse ltd,School/college/university,7845,0.0,,363221,0.0,,51.463147,171591,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.071747,SE15 4DY,2014-06-23,fhrs_5_en-GB,5,,FHRS,5.0
126429,126429,,30,Choumert Road,London,Iya pupa,Retailers - other,4613,10.0,,654167,10.0,,51.468194,183241,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068554,SE15 4SE,2014-03-24,fhrs_3_en-GB,3,,FHRS,10.0
126431,126431,,132,Rye Lane,London,J & j butchers,Retailers - other,4613,10.0,,364791,15.0,,51.469024,52198,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068174,SE15 4RZ,2014-07-23,fhrs_2_en-GB,2,,FHRS,10.0
126433,126433,,7C,Choumert Road,London,J & t fish & seafood,Retailers - other,4613,5.0,,364079,10.0,,51.468211,21640,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068496,SE15 4SE,2014-11-05,fhrs_3_en-GB,3,,FHRS,10.0
126434,126434,,131-133,Evelina Road,London,J f ayre ltd,Manufacturers/packers,7839,5.0,,364679,0.0,,51.466101,42020,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056707,SE15 3HB,2014-12-02,fhrs_4_en-GB,4,,FHRS,10.0
126442,126442,,168,Rye Lane,London,Jaffa food store,Retailers - other,4613,10.0,,363993,5.0,,51.467853,1847,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.067518,SE15 4NB,2014-04-14,fhrs_4_en-GB,4,,FHRS,0.0
126446,126446,,207,Rye Lane,London,Jamaica spice ltd,Other catering premises,7841,10.0,,363823,10.0,,51.467685,177364,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066603,SE15 4TP,2015-01-06,fhrs_3_en-GB,3,,FHRS,10.0
126458,126458,,27a,Peckham High Street,London,Jb's soul food,Takeaway/sandwich shop,7844,10.0,,654195,10.0,,51.473716,183884,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.07241,SE15 5EB,2014-03-10,fhrs_4_en-GB,4,,FHRS,0.0
126462,126462,,12,Station Way,London,Jenny's,Retailers - other,4613,5.0,,362839,0.0,,51.469985,125039,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069227,SE15 4RX,2012-08-30,fhrs_5_en-GB,5,,FHRS,0.0
126464,126464,,100,Evelina Road,London,Jerkiz caribbean cuisine,Restaurant/Cafe/Canteen,1,,,687781,,,51.466607,182979,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056326,SE15 3HL,2014-08-06,fhrs_5_en-GB,5,,FHRS,
126478,126478,,137,Brayards Road,London,Julian supermarket,Retailers - other,4613,10.0,,421354,0.0,,51.469697,2171,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.057735,SE15 2BX,2011-02-14,fhrs_4_en-GB,4,,FHRS,0.0
126486,126486,,146-150,Rye Lane,London,K & k butchers,Retailers - other,4613,20.0,,362764,15.0,,51.469024,1112,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068174,SE15 4RZ,2015-01-06,fhrs_1_en-GB,1,,FHRS,15.0
126493,126493,,,90-92 Rye Lane,London,K&a centre ltd,Retailers - other,4613,10.0,,365018,10.0,,51.469024,75180,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068174,SE15 4RZ,2014-08-21,fhrs_3_en-GB,3,,FHRS,10.0
126495,126495,John Kitchen Centre,22,Linden Grove,London,Kairos,Hospitals/Childcare/Caring Premises,5,5.0,,364738,5.0,,51.463226,46039,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.059622,SE15 3LF,2013-01-24,fhrs_5_en-GB,5,,FHRS,5.0
126501,126501,,19,Peckham High Street,London,Kam foh,Takeaway/sandwich shop,7844,5.0,,449256,5.0,,51.473716,181274,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.07241,SE15 5EB,2013-09-24,fhrs_5_en-GB,5,,FHRS,0.0
126502,126502,,44,Peckham Rye,London,Kapadokya,Takeaway/sandwich shop,7844,5.0,,363690,0.0,,51.465565,176071,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066722,SE15 4JR,2012-08-30,fhrs_5_en-GB,5,,FHRS,0.0
126505,126505,,18,Choumert Road,London,Kashmir grocers,Retailers - other,4613,20.0,,363994,15.0,,51.468211,1850,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068496,SE15 4SE,2014-07-01,fhrs_1_en-GB,1,,FHRS,10.0
126507,126507,,165,Peckham Hill Street,London,Katies,Takeaway/sandwich shop,7844,10.0,,363676,10.0,,51.474661,175982,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.06867,SE15 5JZ,2014-06-24,fhrs_3_en-GB,3,,FHRS,5.0
126508,126508,,130,Peckham Hill Street,London,Katies kebab,Takeaway/sandwich shop,7844,5.0,,363656,5.0,,51.475275,175835,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.06935,SE15 5JT,2013-08-07,fhrs_5_en-GB,5,,FHRS,5.0
126513,126513,,97,Azenby Road,London,Keerthanaa store,Retailers - other,4613,10.0,,364005,10.0,,51.469645,1867,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.077521,SE15 5AJ,2013-08-20,fhrs_3_en-GB,3,,FHRS,10.0
126517,126517,,32,Rye Lane,London,Kentucky fried chicken,Restaurant/Cafe/Canteen,1,0.0,,364414,0.0,,51.472256,2963,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070053,SE15 5BS,2012-08-22,fhrs_5_en-GB,5,,FHRS,0.0
126523,126523,,208,Rye Lane,London,Kgf (kingdom gift centre),Retailers - other,4613,5.0,,363770,5.0,,51.466439,176868,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066325,SE15 4NL,2011-02-25,fhrs_5_en-GB,5,,FHRS,5.0
126528,126528,,135,Rye Lane,London,Khan's bargain limited (grocery),Retailers - other,4613,10.0,,362724,10.0,,51.469866,110165,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,2014-04-14,fhrs_2_en-GB,2,,FHRS,15.0
126529,126529,,35,Peckham High Street,London,Khf,Restaurant/Cafe/Canteen,1,10.0,,364369,5.0,,51.473716,2842,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.07241,SE15 5EB,2014-09-11,fhrs_4_en-GB,4,,FHRS,5.0
126530,126530,,47,Peckham High Street,London,Kim lien,Retailers - other,4613,10.0,,542859,10.0,,51.473716,182291,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.07241,SE15 5EB,2014-04-14,fhrs_4_en-GB,4,,FHRS,0.0
126533,126533,,56,Gibbon Road,London,King valley fried chicken,Takeaway/sandwich shop,7844,0.0,,364549,0.0,,51.466568,3352,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.051835,SE15 3XE,2012-10-09,fhrs_5_en-GB,5,,FHRS,5.0
126546,126546,,119,Queens Road,London,Kitchen 54,Takeaway/sandwich shop,7844,10.0,,692072,10.0,,51.473961,184225,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.059484,SE15 2EZ,2014-07-23,fhrs_3_en-GB,3,,FHRS,10.0
126548,126548,,92,Rye Lane,London,Kna food centre,Retailers - other,4613,0.0,,364002,0.0,,51.469024,1864,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068174,SE15 4RZ,2014-04-14,fhrs_4_en-GB,4,,FHRS,10.0
126554,126554,,127,Evelina Road,London,Kristal pharmacy,Retailers - other,4613,,,364678,,,51.466101,42019,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056707,SE15 3HB,2007-04-21,fhrs_exempt_en-GB,Exempt,,FHRS,
126556,126556,,5,Choumert Road,London,Krootown market,Retailers - other,4613,10.0,,467680,10.0,,51.468211,180608,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068496,SE15 4SE,2012-10-25,fhrs_3_en-GB,3,,FHRS,10.0
126560,126560,,74,Peckham High Street,London,Kumasi market,Retailers - other,4613,20.0,,363999,0.0,,51.473722,1860,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068436,SE15 5ED,2014-04-14,fhrs_1_en-GB,1,,FHRS,0.0
126601,126601,,48,Rye Lane,,Le petit jardin,Restaurant/Cafe/Canteen,1,5.0,,364845,5.0,,51.471164,55120,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069782,SE15 5BY,2009-01-06,fhrs_5_en-GB,5,,FHRS,5.0
126617,126617,,200,Rye Lane,London,Lerryn's,Restaurant/Cafe/Canteen,1,10.0,,665576,5.0,,51.467202,183763,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066768,SE15 4NF,2014-05-06,fhrs_3_en-GB,3,,FHRS,10.0
126623,126623,,5,Bellenden Road,London,Lidl uk gmbh,Retailers - supermarkets/hypermarkets,7840,5.0,,364761,10.0,,51.472484,48914,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.071325,SE15 5BA,2009-04-17,fhrs_3_en-GB,3,,FHRS,10.0
126627,126627,Lime Tree House,2,Dundas Road,London,Lime tree house,Hospitals/Childcare/Caring Premises,5,5.0,,542844,0.0,,51.470272,182096,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.0545,SE15 2DL,2013-03-13,fhrs_5_en-GB,5,,FHRS,0.0
126632,126632,,165,Queens Road,London,Lions fried chicken,Takeaway/sandwich shop,7844,10.0,,365041,0.0,,51.473679,77933,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.057091,SE15 2ND,2014-01-23,fhrs_4_en-GB,4,,FHRS,10.0
126638,126638,,59,Peckham High Street,London,Little hut,Retailers - other,4613,20.0,,362969,15.0,,51.473716,1365,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.07241,SE15 5EB,2014-04-14,fhrs_1_en-GB,1,,FHRS,10.0
126639,126639,,60a,Amott Road,London,Little jungle nursery,Hospitals/Childcare/Caring Premises,5,5.0,,363882,5.0,,51.464093,178228,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070728,SE15 4JD,2014-11-18,fhrs_4_en-GB,4,,FHRS,10.0
126646,126646,,281-283,Rye Lane,London,Little winners day nursery,Hospitals/Childcare/Caring Premises,5,5.0,,363408,5.0,,51.46589,173666,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.0657,SE15 4UA,2014-09-03,fhrs_4_en-GB,4,,FHRS,10.0
126653,126653,,38,Choumert Road,London,Lolak,Restaurant/Cafe/Canteen,1,20.0,,363206,15.0,,51.468211,171423,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068496,SE15 4SE,2013-12-18,fhrs_1_en-GB,1,,FHRS,10.0
126682,126682,,37,Peckham Road,London,London self storage centre,Distributors/Transporters,7,,,635637,,,51.474265,6066,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.079573,SE5 8UH,2014-01-29,fhrs_exempt_en-GB,Exempt,,FHRS,
126712,126712,,105,Peckham High Street,London,M manze,Restaurant/Cafe/Canteen,1,0.0,,364362,0.0,,51.473836,2829,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069309,SE15 5RS,2011-01-06,fhrs_5_en-GB,5,,FHRS,0.0
126719,126719,,54,Linden Grove,London,Magic mind,Hospitals/Childcare/Caring Premises,5,5.0,,365092,5.0,,51.463226,89693,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.059622,SE15 3LF,2014-06-26,fhrs_5_en-GB,5,,FHRS,5.0
126733,126733,,2,Nunhead Green,London,Man of kent,Pub/bar/nightclub,7843,10.0,,364162,5.0,,51.465307,2387,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.058224,SE15 3QF,2007-04-21,fhrs_4_en-GB,4,,FHRS,5.0
126737,126737,,145,Peckham High Street,London,Mango associates,Retailers - other,4613,20.0,,362904,10.0,,51.474167,130573,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066488,SE15 5SL,2014-07-23,fhrs_1_en-GB,1,,FHRS,15.0
126738,126738,,149-151,Copeland Road,London,Mani caterers,Mobile caterer,7846,0.0,,363150,5.0,,51.469911,170507,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.064162,SE15 3SN,2009-02-26,fhrs_5_en-GB,5,,FHRS,5.0
126744,126744,7 The Market,,Choumert Road,London,Marampa koya,Other catering premises,7841,10.0,,617537,10.0,,51.464881,183423,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.07274,SE15 4BG,2014-10-30,fhrs_3_en-GB,3,,FHRS,10.0
126760,126760,,147-149,Peckham Hill Street,London,Mason & white ltd,Retailers - other,4613,,,362815,,,51.474661,1220,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.06867,SE15 5JZ,2007-04-26,fhrs_exempt_en-GB,Exempt,,FHRS,
126768,126768,,26a,Peckham Rye,London,Mc neils,Takeaway/sandwich shop,7844,20.0,,692067,15.0,,51.465565,184202,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066722,SE15 4JR,2014-06-03,fhrs_1_en-GB,1,,FHRS,10.0
126769,126769,,72,Rye Lane,London,Mcdonalds,Restaurant/Cafe/Canteen,1,0.0,,363772,5.0,,51.470269,176873,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068985,SE15 5DQ,2013-10-09,fhrs_4_en-GB,4,,FHRS,10.0
126788,126788,,261,Rye Lane,London,Mfc (mediterranean food centre),Retailers - supermarkets/hypermarkets,7840,10.0,,692036,10.0,,51.466599,183256,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.06567,SE15 4UR,2014-07-31,fhrs_3_en-GB,3,,FHRS,10.0
126792,126792,Unit 11 Print Village,58,Chadwick Road,London,Mighty fine kitchen ltd,Manufacturers/packers,7839,0.0,,692052,0.0,,51.467827,183918,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.074127,SE15 4PU,2014-06-19,fhrs_4_en-GB,4,,FHRS,10.0
126820,126820,,2a,Kirkwood Road,London,Monley's,Takeaway/sandwich shop,7844,10.0,,554963,0.0,,51.466971,182953,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.058254,SE15 3XX,2014-11-13,fhrs_4_en-GB,4,,FHRS,0.0
126833,126833,,163,Rye Lane,London,Morleys fried chicken,Takeaway/sandwich shop,7844,20.0,,363942,20.0,,51.468604,179286,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.067241,SE15 4TL,2014-03-12,fhrs_1_en-GB,1,,FHRS,10.0
126834,126834,,189,Queens Road,London,Morleys fried chicken,Takeaway/sandwich shop,7844,5.0,,364567,5.0,,51.473679,3420,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.057091,SE15 2ND,2014-08-13,fhrs_5_en-GB,5,,FHRS,5.0
126835,126835,,10,Peckham High Street,London,Morleys fried chicken,Takeaway/sandwich shop,7844,10.0,,635618,5.0,,51.473415,183399,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.072697,SE15 5DT,2014-02-11,fhrs_4_en-GB,4,,FHRS,5.0
126840,126840,Morrisons Petrol Station The,,Rye Lane,London,Morrisons,Retailers - supermarkets/hypermarkets,7840,5.0,,363594,5.0,,51.472746,175427,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068693,SE15 5EW,2010-08-12,fhrs_5_en-GB,5,,FHRS,5.0
126841,126841,Unit 3 The Aylesham Centre,,Rye Lane,London,Morrisons,Retailers - supermarkets/hypermarkets,7840,0.0,,364536,0.0,,51.472746,3324,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068693,SE15 5EW,2010-10-22,fhrs_5_en-GB,5,,FHRS,0.0
126878,126878,Unit 2,12-16,Blenheim Grove,London,Muana london,Restaurant/Cafe/Canteen,1,20.0,,449250,10.0,,51.469437,180936,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070302,SE15 4QL,2014-07-23,fhrs_1_en-GB,1,,FHRS,10.0
126922,126922,,52,Rye Lane,London,New london butchers,Retailers - other,4613,10.0,,665583,10.0,,51.471164,183952,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069782,SE15 5BY,2014-05-27,fhrs_2_en-GB,2,,FHRS,15.0
126924,126924,,176,Bellenden Road,London,New lotus king,Takeaway/sandwich shop,7844,20.0,,635633,15.0,,51.466859,183776,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.073218,SE15 4BW,2014-02-07,fhrs_1_en-GB,1,,FHRS,15.0
126944,126944,,2,Kirkwood Road,London,Nisa nunhead express,Retailers - other,4613,10.0,,364994,10.0,,51.466971,65580,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.058254,SE15 3XX,2014-04-03,fhrs_3_en-GB,3,,FHRS,10.0
126947,126947,,67,Peckham Road,London,No67,Restaurant/Cafe/Canteen,1,10.0,,363809,10.0,,51.474304,177107,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.079787,SE5 8UH,2012-07-10,fhrs_3_en-GB,3,,FHRS,10.0
126948,126948,Buchan Tenants Hall,,Salisbury Terrace,London,Nolo buchans tenants  residents association,Other catering premises,7841,,,363803,,,51.465623817,177099,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.0533049266043,,2011-02-14,fhrs_exempt_en-GB,Exempt,,FHRS,
126950,126950,,63,Peckham High Street,London,Noodle house,Restaurant/Cafe/Canteen,1,10.0,,363590,15.0,,51.473716,175419,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.07241,SE15 5EB,2013-09-12,fhrs_2_en-GB,2,,FHRS,10.0
126957,126957,,56,Nunhead Lane,London,Nunhead green community centre,Other catering premises,7841,5.0,,364059,10.0,,51.463807,2024,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.061556,SE15 3TU,2003-07-17,fhrs_4_en-GB,4,,FHRS,0.0
126958,126958,,108,Evelina Road,London,Nunhead pound express,Retailers - other,4613,5.0,,363328,10.0,,51.466607,172678,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056326,SE15 3HL,2009-10-13,fhrs_4_en-GB,4,,FHRS,5.0
